originalTitle,rating,startYear,endYear,runtimeMinutes,awardWins,numVotes,totalImages,totalVideos,totalCredits,criticReviewsTotal,titleType,awardNominationsExcludeWins,canHaveEpisodes,isAdult,numRegions,userReviewsTotal,ratingCount,countryOfOrigin,is_Documentary,is_History,is_Adventure,is_Thriller,is_Game-Show,is_Comedy,is_Sci-Fi,is_Romance,is_Biography,is_Musical,is_Western,is_Music,is_Film-Noir,is_Adult,is_Reality-TV,is_News,is_Action,is_Crime,is_Short,is_Fantasy,is_Family,is_Mystery,is_Talk-Show,is_Drama,is_Sport,is_War,is_Horror,is_Animation,fill_runtimeMinutes
Princely Toys: The Private Kingdon of Jack Donovan,6,7.589335823170617,,45.0,0.0,2.1972245773362196,0.0,0.0,2.0794415416798357,0.6931471805599453,tvMovie,0.0,False,0,0.6931471805599453,1.0986122886681098,8,['GB'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.828641396489095
Tweek vs. Craig,8,7.600902459542082,,22.0,0.0,8.058960017769417,2.6390573296152584,0.6931471805599453,4.663439094112067,0.0,tvEpisode,0.0,False,0,0.6931471805599453,1.0986122886681098,3164,['US'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.1354942159291497
A Quick Email,10,7.61085279039525,,,0.0,2.70805020110221,1.0986122886681098,0.0,3.8501476017100584,0.0,tvEpisode,0.0,False,0,0.6931471805599453,0.0,14,['US'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.713572066704308
Ekeines & ego,8,7.599401333415815,7.6004023345004,40.0,0.0,7.254884810077338,2.70805020110221,0.0,5.288267030694535,0.0,tvSeries,0.0,True,0,1.0986122886681098,1.0986122886681098,1414,['GR'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.713572066704308
El Amor Está en el Aire,8,7.607381425639791,,,0.0,2.3978952727983707,0.0,0.0,3.7376696182833684,0.0,tvEpisode,0.0,False,0,0.6931471805599453,0.0,10,['MX'],0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.713572066704308
Red Scorpion,6,7.5953872788539725,,105.0,0.0,9.208939391060555,4.867534450455582,0.6931471805599453,5.017279836814924,4.330733340286331,movie,0.0,False,0,3.332204510175204,4.343805421853684,9987,"['US', 'ZA', 'NA']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.663439094112067
Vitalka,6,7.607381425639791,7.609862200913554,15.0,0.0,3.970291913552122,2.1972245773362196,0.0,2.70805020110221,0.0,tvSeries,0.6931471805599453,True,0,1.3862943611198906,0.0,52,['UA'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.772588722239781
"Karen, Maren og Mette",6,7.578145472419466,,77.0,0.0,3.2188758248682006,3.6375861597263857,0.0,3.713572066704308,0.0,movie,0.0,False,0,0.6931471805599453,0.0,24,['DK'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4.356708826689592
Diane Kruger,5,7.612336837167746,,,0.0,3.258096538021482,0.0,0.0,4.1588830833596715,0.0,tvEpisode,0.0,False,0,0.6931471805599453,0.0,25,['US'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.713572066704308
Zhao hua xi shi,6,7.59488438721652,,91.0,0.0,3.4011973816621555,1.0986122886681098,0.0,3.5263605246161616,0.0,movie,0.0,False,0,1.3862943611198906,0.0,29,['HK'],0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5217885770490405
Episode #20.8,6,7.6093665379542115,,,0.0,3.332204510175204,0.6931471805599453,0.0,4.672828834461906,0.0,tvEpisode,0.0,False,0,2.0794415416798357,0.0,27,['US'],0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.713572066704308
A Dark and Story Night/Sand Hassles,7,7.611347717403621,,,0.0,5.3230099791384085,2.1972245773362196,0.0,4.465908118654584,0.0,tvEpisode,0.0,False,0,0.6931471805599453,0.6931471805599453,204,['US'],0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.713572066704308
Taifuken no onna,7,7.575071699507561,,68.0,0.0,4.23410650459726,0.6931471805599453,0.0,2.5649493574615367,1.0986122886681098,movie,0.0,False,0,1.0986122886681098,0.6931471805599453,69,['JP'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.23410650459726
Discontent,6,7.558516743045645,,25.0,0.0,4.852030263919617,0.6931471805599453,0.0,2.4849066497880004,0.0,short,0.0,False,0,0.6931471805599453,1.0986122886681098,127,['US'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3.258096538021482
Howdy Town Volume 2,4,7.605392364814935,,,0.0,2.302585092994046,0.0,0.0,3.044522437723423,0.0,video,0.0,False,0,0.6931471805599453,0.0,9,['US'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.343805421853684
Sex School,9,7.610357618312838,7.610357618312838,,0.0,3.1354942159291497,0.6931471805599453,0.0,2.70805020110221,0.0,tvSeries,0.0,True,0,2.302585092994046,0.0,22,['US'],0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.4657359027997265
Doppio contatto anale,4,7.59890045687141,,90.0,0.0,2.5649493574615367,0.0,0.0,2.4849066497880004,0.0,video,0.0,False,1,0.6931471805599453,0.6931471805599453,12,['IT'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51085950651685
Closure,3,7.607381425639791,,72.0,0.0,4.060443010546419,0.6931471805599453,0.0,3.5263605246161616,0.0,movie,0.0,False,0,0.6931471805599453,0.0,57,['GB'],0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.290459441148391
Ginger in the Morning,6,7.5883236773352225,,90.0,0.0,5.998936561946683,2.9444389791664403,0.0,4.1588830833596715,2.1972245773362196,movie,0.0,False,0,2.1972245773362196,2.70805020110221,402,['US'],0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.51085950651685
Imperium der Päpste,8,7.605392364814935,,43.0,0.0,2.4849066497880004,1.6094379124341003,0.0,3.295836866004329,0.0,tvSeries,0.0,True,0,0.6931471805599453,0.0,11,['DE'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.784189633918261
Buster se marie,7,7.566311014772463,,80.0,0.0,3.828641396489095,1.6094379124341003,0.0,3.044522437723423,0.0,movie,0.0,False,0,1.791759469228055,0.0,45,['US'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.394449154672439
Purple Sail,7,7.60688453121963,,95.0,0.0,3.2188758248682006,0.6931471805599453,0.0,3.4965075614664802,0.0,movie,0.0,False,0,1.3862943611198906,0.0,24,"['US', 'CA']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4.564348191467836
Shooting Nick,7,7.60339933974067,,108.0,0.0,3.295836866004329,0.6931471805599453,0.0,3.8501476017100584,0.0,movie,0.0,False,0,0.6931471805599453,1.0986122886681098,26,['US'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.6913478822291435
Rosalie Goes Shopping,6,7.595889917718538,,94.0,0.6931471805599453,7.016609683894219,2.995732273553991,0.0,4.624972813284271,2.1972245773362196,movie,0.6931471805599453,False,0,2.995732273553991,2.4849066497880004,1114,"['US', 'XWG']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.553876891600541
Lisa,6,7.596392304064196,,95.0,0.0,7.78155595923534,4.219507705176107,0.6931471805599453,4.962844630259907,3.258096538021482,movie,1.0986122886681098,False,0,2.70805020110221,3.367295829986474,2398,['US'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4.564348191467836
Karpopotnik,8,7.607878073278507,,49.0,1.0986122886681098,3.8918202981106265,0.6931471805599453,0.6931471805599453,2.1972245773362196,0.6931471805599453,movie,1.0986122886681098,False,0,1.9459101490553132,0.0,48,['SI'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.912023005428146
L'effaceur de mémoire,7,7.5883236773352225,,,0.0,1.9459101490553132,0.6931471805599453,0.0,3.713572066704308,0.0,tvEpisode,0.0,False,0,0.6931471805599453,0.6931471805599453,6,"['FI', 'XWG', 'FR', 'CA']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3.713572066704308
Schluss mit Mudder,7,7.602401335665818,,88.0,0.0,4.3694478524670215,0.6931471805599453,0.0,3.4339872044851463,0.0,movie,0.0,False,0,0.6931471805599453,0.0,78,['DE'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4.48863636973214
The Apple Doesn't Fall Far from the Tree,7,7.594381242551817,,,0.0,3.970291913552122,0.6931471805599453,0.0,3.9889840465642745,0.0,tvEpisode,0.0,False,0,0.6931471805599453,1.0986122886681098,52,['US'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3.713572066704308
Burn on Arrival,9,7.611842399580417,,19.0,0.0,2.8903717578961645,1.3862943611198906,0.0,4.02535169073515,0.6931471805599453,short,0.0,False,0,0.6931471805599453,0.6931471805599453,17,['GB'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.995732273553991
Zehreela Insaan,8,7.5883236773352225,,131.0,0.0,4.584967478670572,0.6931471805599453,0.0,4.382026634673881,0.0,movie,0.0,False,0,1.0986122886681098,1.0986122886681098,97,['IN'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.882801922586371
