originalTitle,rating,startYear,endYear,runtimeMinutes,awardWins,numVotes,totalImages,totalVideos,totalCredits,criticReviewsTotal,titleType,awardNominationsExcludeWins,canHaveEpisodes,numRegions,userReviewsTotal,is_Documentary,is_History,is_Adventure,is_Thriller,is_Game-Show,is_Comedy,is_Sci-Fi,is_Romance,is_Biography,is_Musical,is_Western,is_Music,is_Film-Noir,is_Adult,is_Reality-TV,is_News,is_Action,is_Crime,is_Short,is_Fantasy,is_Family,is_Mystery,is_Talk-Show,is_Drama,is_Sport,is_War,is_Horror,is_Animation,fill_runtimeMinutes,is_from_Oceania,is_from_North America,is_from_South America,is_from_Asia,is_from_Africa,is_from_Europe,countryOfOrigin,countryOfOrigin_freq_enc,countryOfOrigin_NA,countryOfOrigin_AF,countryOfOrigin_AS,countryOfOrigin_EU,countryOfOrigin_OC,countryOfOrigin_SA,countryOfOrigin_UNK,fill_runtimeMinutes_Bruno,totalNominations,totalMedia,runtimeMinutes_notitletype,outlier_no_type,outlier_w_type
Supîdo dokei,6,1979,1979.0,11.0,0.0,6,2,0,13,0,tvEpisode,0,False,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.0,0,0,0,1,0,0,['JP'],0.0470863249290365,0,0,1,0,0,0,0,11.0,0.0,2,11.0,False,False
Mutoid Waste Company,9,1998,1998.0,30.0,0.0,10,0,0,4,0,short,0,False,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30.0,0,0,0,0,0,1,['AT'],0.0051761562865252,0,0,0,1,0,0,0,30.0,0.0,0,30.0,False,False
The Man Who Could Not Die,7,1979,1979.0,46.0,0.0,180,39,0,65,0,tvEpisode,0,False,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,46.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,46.0,0.0,39,46.0,False,False
Pour mon fils,8,1998,1998.0,,0.0,10,4,0,24,0,tvMovie,0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,86.0,0,0,0,0,0,1,['FR'],0.0459731730394612,0,0,0,1,0,0,0,89.0,0.0,4,69.0,False,False
Jeg elsker dig,8,2013,2013.0,42.0,0.0,128,89,0,94,0,tvEpisode,0,False,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,42.0,0,0,0,0,0,1,['DK'],0.0067345689319307,0,0,0,1,0,0,0,42.0,0.0,89,42.0,False,False
Hornblower: The Even Chance,9,1998,1998.0,93.0,3.0,6167,19,0,137,7,tvMovie,16,False,12,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,93.0,0,0,0,0,0,1,['GB'],0.0987922301998107,0,0,0,1,0,0,0,93.0,19.0,19,93.0,False,False
ManneZimmer,7,1997,2001.0,,0.0,20,0,0,29,0,tvSeries,0,True,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,0,0,0,0,0,1,['CH'],0.0043969499638225,0,0,0,1,0,0,0,30.0,0.0,0,60.0,False,False
Pancho and the Pachyderm,8,1952,1952.0,30.0,0.0,23,1,0,20,0,tvEpisode,0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,30.0,0.0,1,30.0,False,False
All Def Comedy,8,2017,,30.0,0.0,84,7,1,90,0,tvSeries,0,True,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,30.0,0.0,8,30.0,False,False
"Baby, It's Cold Outside",8,1992,1992.0,30.0,0.0,332,1,0,58,0,tvEpisode,0,False,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,30.0,0.0,1,30.0,False,False
Split Ends,7,2013,2013.0,4.0,1.0,7,8,0,15,0,short,1,False,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,4.0,2.0,8,4.0,False,False
Friday,8,2023,2023.0,22.0,0.0,549,2,0,155,2,tvEpisode,0,False,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,22.0,0.0,2,22.0,False,False
Crook & Chase,8,1996,1999.0,,0.0,15,6,0,31,0,tvSeries,0,True,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,45.0,0.0,6,60.0,False,False
The Ascension of the Angels,9,1993,1993.0,24.0,0.0,13,0,0,35,0,tvEpisode,0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,24.0,0,0,0,1,0,0,['JP'],0.0470863249290365,0,0,1,0,0,0,0,24.0,0.0,0,24.0,False,False
Little Nell,5,1917,1917.0,,0.0,19,0,0,1,0,short,0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,14.0,0.0,0,10.0,False,False
A Country Romance,6,2021,2021.0,83.0,0.0,425,2,1,56,2,tvMovie,0,False,9,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,83.0,0.0,3,83.0,False,False
Subimago,8,2017,2017.0,57.0,0.0,9,9,0,32,1,movie,4,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,57.0,0,0,0,0,0,1,['FR'],0.0459731730394612,0,0,0,1,0,0,0,57.0,4.0,9,57.0,False,True
HBO First Look,7,1992,,13.0,0.0,487,73,0,4973,0,tvSeries,3,True,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,13.0,3.0,73,13.0,False,False
Die Frau des Heimkehrers,4,2006,2006.0,,1.0,77,1,0,37,2,tvMovie,0,False,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,86.0,0,0,0,0,0,1,['DE'],0.0279401124283408,0,0,0,1,0,0,0,90.0,1.0,1,71.0,False,False
Terrace House: Closing Door,6,2015,2015.0,129.0,0.0,116,2,0,14,0,movie,0,False,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,129.0,0,0,0,1,0,0,['JP'],0.0470863249290365,0,0,1,0,0,0,0,129.0,0.0,2,129.0,False,True
Hot Cherry Pies 3,6,2005,2005.0,240.0,0.0,18,0,0,56,0,video,0,False,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,240.0,0.0,0,240.0,True,True
I Remember Nothing,6,2015,2015.0,23.0,0.0,45,2,0,17,0,short,2,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,23.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,23.0,2.0,2,23.0,False,False
"Black Diamond Express, No. 2",4,1897,1897.0,,0.0,32,0,0,2,0,short,0,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,15.0,0.0,0,10.0,False,False
Shadow Bound,9,2013,,20.0,1.0,72,15,0,175,0,tvMiniSeries,1,True,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,20.0,2.0,15,20.0,False,False
Single White Sister,8,1993,1993.0,46.0,0.0,111,1,0,100,0,tvEpisode,0,False,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,46.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,46.0,0.0,1,46.0,False,False
Mananabas,6,2001,2001.0,107.0,0.0,38,1,0,82,0,movie,0,False,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,107.0,0,0,0,1,0,0,['PH'],0.0056770746368341,0,0,1,0,0,0,0,107.0,0.0,1,107.0,False,False
Bullet Ballet,7,1998,1998.0,87.0,2.0,3215,10,0,58,35,movie,2,False,11,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,87.0,0,0,0,1,0,0,['JP'],0.0470863249290365,0,0,1,0,0,0,0,87.0,4.0,10,87.0,False,False
Episode #9.1,8,2013,2013.0,,0.0,8,0,0,29,0,tvEpisode,0,False,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,30.0,0.0,0,89.0,False,False
The Broken Badge,8,1978,1978.0,93.0,0.0,40,2,0,80,0,tvEpisode,0,False,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,93.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,93.0,0.0,2,93.0,False,True
Poor Box,8,1983,1983.0,24.0,0.0,14,8,0,32,0,tvEpisode,0,False,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,0,0,0,0,0,1,['GB'],0.0987922301998107,0,0,0,1,0,0,0,24.0,0.0,8,24.0,False,False
"Frank Merriwell in Arizona; or, The Mystery Mine",5,1910,1910.0,27.0,0.0,12,2,0,1,0,short,0,False,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,27.0,0.0,2,27.0,False,False
Getting Barry's Goat,8,2001,2001.0,29.0,0.0,30,3,0,52,1,tvEpisode,0,False,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,0,0,0,0,0,1,['GB'],0.0987922301998107,0,0,0,1,0,0,0,29.0,0.0,3,29.0,False,False
The Wisdom of Solomon,9,1977,1977.0,50.0,0.0,385,2,0,48,0,tvEpisode,0,False,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,50.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,50.0,0.0,2,50.0,False,False
Hong Xi Guan,7,1977,1977.0,,0.0,1954,35,1,63,31,movie,0,False,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,90.0,0,0,0,1,0,0,['HK'],0.007847720821506,0,0,1,0,0,0,0,89.0,0.0,36,88.0,False,False
Style 2,8,1994,1994.0,,0.0,20,0,0,18,0,video,0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,86.0,0.0,0,49.0,False,False
Amanita Pestilens,6,1963,1963.0,79.0,0.0,55,14,0,38,3,movie,0,False,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,79.0,0,1,0,0,0,0,['CA'],0.034563366171314,1,0,0,0,0,0,0,79.0,0.0,14,79.0,False,False
Phobia,8,2014,2014.0,,0.0,430,3,2,154,0,tvEpisode,0,False,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,40.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,45.0,0.0,5,80.0,False,False
Frauensee,6,2012,2012.0,85.0,0.0,258,2,0,35,6,movie,1,False,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,85.0,0,0,0,0,0,1,['DE'],0.0279401124283408,0,0,0,1,0,0,0,85.0,1.0,2,85.0,False,False
"Vengeance, Part 1",9,2012,2012.0,48.0,0.0,614,10,0,217,0,tvEpisode,0,False,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,48.0,0,0,0,0,0,1,['GB'],0.0987922301998107,0,0,0,1,0,0,0,48.0,0.0,10,48.0,False,False
Il n'y a pas de fumée sans feu,7,1973,1973.0,,4.0,188,2,0,59,0,movie,1,False,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,90.0,0,0,0,0,0,1,"['FR', 'IT']",0.0694606779095007,0,0,0,2,0,0,0,95.0,5.0,2,91.0,False,False
Fou d'amour,7,2015,2015.0,107.0,1.0,244,1,1,72,4,movie,0,False,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,107.0,0,0,0,0,0,1,['FR'],0.0459731730394612,0,0,0,1,0,0,0,107.0,1.0,2,107.0,False,False
Fire!,7,1901,1901.0,5.0,0.0,817,6,0,3,4,short,0,False,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,5.0,0,0,0,0,0,1,['GB'],0.0987922301998107,0,0,0,1,0,0,0,5.0,0.0,6,5.0,False,False
Every Woman Has a Foot Fantasy,9,1996,1996.0,105.0,1.0,23,0,0,10,0,video,0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,105.0,1.0,0,105.0,False,False
Bette Midler/Bryan Washington,7,2020,2020.0,41.0,0.0,17,0,0,26,0,tvEpisode,0,False,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,41.0,0.0,0,41.0,False,False
The Silent Sea,7,2021,2021.0,48.0,0.0,783,9,0,51,3,tvEpisode,0,False,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,48.0,0,0,0,1,0,0,['KR'],0.0091835030889964,0,0,1,0,0,0,0,48.0,0.0,9,48.0,False,False
Furore,6,1997,2003.0,,0.0,9,1,0,239,0,tvSeries,0,True,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,0,0,0,0,0,1,['IT'],0.0234875048700395,0,0,0,1,0,0,0,45.0,0.0,1,60.0,False,False
Sins of the Fathers Chapter 14: The Turning Point,9,1996,1996.0,22.0,0.0,758,9,0,35,0,tvEpisode,0,False,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,22.0,0,1,0,0,0,0,['US'],0.3970612790115211,1,0,0,0,0,0,0,22.0,0.0,9,22.0,False,False
